,tags,1,new
405,"['space', 'handShift', 'retrace']",1,"['space', 'handShift', 'retrace']"
407,"['hi', 'mod', 'retrace']",1,"['hi', 'mod', 'retrace']"
408,"['handShift', 'fw', 'damage']",1,"['fw', 'damage', 'handShift']"
410,"['damage', 'note', 'unclear']",1,"['note', 'damage', 'unclear']"
413,"['handShift', 'note', 'num']",2,"['note', 'num', 'handShift']"
418,"['line', 'seg', 'g']",1,"['seg', 'line', 'g']"
422,"['zone', 'handShift', 'orig']",1,"['zone', 'orig', 'handShift']"
423,"['abbr', 'mod', 'handShift']",1,"['abbr', 'mod', 'handShift']"
424,"['line', 'abbr', 'overw']",1,"['overw', 'line', 'abbr']"
425,"['lem', 'hi', 'mod']",1,"['lem', 'hi', 'mod']"
426,"['rdg', 'mod', 'unclear']",1,"['rdg', 'unclear', 'mod']"
427,"['line', 'fw', 'num']",2,"['fw', 'num', 'line']"
430,"['lem', 'mod', 'overw']",1,"['overw', 'lem', 'mod']"
431,"['lem', 'gap', 'c']",2,"['lem', 'gap', 'c']"
432,"['publisher', 'idno', 'date']",1,"['publisher', 'date', 'idno']"
433,"['idno', 'date', 'availability']",1,"['availability', 'date', 'idno']"
434,"['msIdentifier', 'repository', 'idno']",1,"['msIdentifier', 'repository', 'idno']"
436,"['line', 'unclear', 'g']",1,"['line', 'g', 'unclear']"
437,"['choice', 'orig', 'num']",1,"['choice', 'num', 'orig']"
438,"['handShift', 'hi', 'choice']",1,"['choice', 'hi', 'handShift']"
439,"['line', 'date', 'hi']",2,"['date', 'hi', 'line']"
440,"['line', 'unclear', 'gap']",1,"['gap', 'line', 'unclear']"
441,"['app', 'lem', 'orig']",1,"['app', 'lem', 'orig']"
442,"['seg', 'grLine', 'overw']",1,"['overw', 'seg', 'grLine']"
444,"['mod', 'seg', 'app']",1,"['app', 'seg', 'mod']"
445,"['line', 'g', 'c']",1,"['line', 'g', 'c']"
448,"['handShift', 'fw', 'gap']",1,"['fw', 'gap', 'handShift']"
449,"['lem', 'rdg', 'handShift']",1,"['lem', 'rdg', 'handShift']"
450,"['app', 'lem', 'unclear']",1,"['app', 'lem', 'unclear']"
452,"['ins', 'retrace', 'mod']",1,"['ins', 'mod', 'retrace']"
454,"['mod', 'ins', 'anchor']",1,"['anchor', 'ins', 'mod']"
456,"['note', 'mod', 'unclear']",1,"['note', 'unclear', 'mod']"
457,"['line', 'space', 'abbr']",1,"['space', 'line', 'abbr']"
458,"['line', 'gap', 'anchor']",1,"['anchor', 'gap', 'line']"
460,"['handShift', 'damage', 'mod']",1,"['damage', 'handShift', 'mod']"
461,"['lem', 'unclear', 'overw']",1,"['overw', 'lem', 'unclear']"
462,"['anchor', 'mod', 'c']",1,"['anchor', 'mod', 'c']"
463,"['line', 'date', 'app']",1,"['app', 'date', 'line']"
464,"['anchor', 'gap', 'c']",1,"['anchor', 'gap', 'c']"
465,"['mod', 'fw', 'gap']",1,"['fw', 'gap', 'mod']"
466,"['fw', 'gap', 'space']",1,"['space', 'fw', 'gap']"
468,"['anchor', 'date', 'abbr']",1,"['anchor', 'date', 'abbr']"
469,"['line', 'g', 'space']",1,"['space', 'line', 'g']"
470,"['line', 'damage', 'supplied']",1,"['supplied', 'damage', 'line']"
472,"['zone', 'line', 'mod']",1,"['zone', 'line', 'mod']"
473,"['anchor', 'app', 'lem']",1,"['anchor', 'app', 'lem']"
474,"['anchor', 'handShift', 'overw']",1,"['anchor', 'overw', 'handShift']"
475,"['over', 'handShift', 'overw']",1,"['over', 'overw', 'handShift']"
477,"['lem', 'mod', 'retrace']",1,"['lem', 'mod', 'retrace']"
479,"['handShift', 'abbr', 'overw']",1,"['overw', 'abbr', 'handShift']"
481,"['line', 'mod', 'choice']",1,"['choice', 'line', 'mod']"
483,"['handShift', 'seg', 'unclear']",1,"['seg', 'unclear', 'handShift']"
484,"['seg', 'retrace', 'g']",1,"['seg', 'retrace', 'g']"
485,"['rdg', 'unclear', 'app']",1,"['rdg', 'app', 'unclear']"
